salesdate,notes,total_sales
2010-01-02,,0.19223003042097855
2010-01-03,,0.0278870039985653
2010-01-04,,0.06632171845317959
2010-01-05,,0.05999840588758851
2010-01-06,,0.08311635692176894
2010-01-08,,0.05495702538624015
2010-01-09,,0.12952163343385098
2010-01-10,,0.06701914263320802
2010-01-11,,0.027617997529125762
2010-01-12,,0.009511537388578186
2010-01-13,,0.009335520809809105
2010-01-14,,0.0595168510966165
2010-01-15,,0.03089257010773543
2010-01-16,,0.20916415372557354
2010-01-17,,0.10320881544163556
2010-01-18,,0.020826414442658446
2010-01-20,,0.039719967586380966
2010-01-21,,0.030902533310307265
2010-01-22,,0.1267883948616443
2010-01-23,,0.24643981561433106
2010-01-24,,0.06170211352737224
2010-01-25,,0.07387714707015423
2010-01-26,,0.08070858296690887
2010-01-27,,0.13016924160102022
2010-01-28,,0.040955404705288474
2010-01-29,,0.17696972514845172
2010-01-30,,0.0718180852053084
2010-01-31,,0.0825517754426983
2010-02-01,,0.12994008794186804
2010-02-02,,0.01017242982584322
2010-02-03,,0.08554073621424871
2010-02-04,,0.07964252029172257
2010-02-05,,0.1097944923416183
2010-02-06,,0.34712461973776854
2010-02-07,,0.10411878794319646
2010-02-08,,0.015017867343278823
2010-02-09,,0.024888080024443055
2010-02-10,,0.06723169095474049
2010-02-11,,0.07775283287059793
2010-02-12,,0.2909454415027167
2010-02-13,anniversary event corset,0.758800828938454
2010-02-15,,0.16448915339346679
2010-02-16,,0.07220000797056206
2010-02-17,,0.0503075308527173
2010-02-18,,0.1437557288414788
2010-02-19,,0.1603975982039667
2010-02-20,,0.15542596012062118
2010-02-21,,0.13983022702817594
2010-02-22,,0.08446138926896661
2010-02-23,,0.011593846726091634
2010-02-24,,0.05730169905814525
2010-02-25,,0.12832937019275475
2010-02-26,,0.03474500843551152
2010-02-27,,0.058743042363537334
2010-02-28,,0.06896860926976368
2010-03-01,,0.06654090890975996
2010-03-02,,0.09523493231664386
2010-03-03,,0.12394556106114749
2010-03-04,,0.10637379279195505
2010-03-05,,0.0701176986330486
2010-03-06,,0.1361803738193605
2010-03-07,,0.05864008927029504
2010-03-08,,0.01894004808905775
2010-03-09,,0.03663469585663616
2010-03-10,,0.03519003148372013
2010-03-11,,0.031852358622155505
2010-03-12,,0.03196859598549358
2010-03-13,,0.14060735682877903
2010-03-14,,0.114995284084116
2010-03-15,,0.04179895585637047
2010-03-16,,0.12550314172987764
2010-03-17,,0.09869880574411839
2010-03-18,,0.035565312113925905
2010-03-19,,0.08550088340396136
2010-03-20,,0.26918248601830574
2010-03-21,,0.19421602880029756
2010-03-22,,0.08932343212402194
2010-03-23,,0.10342800589821592
2010-03-24,,0.039719967586380966
2010-03-25,,0.13437039201881054
2010-03-26,,0.042914834544415956
2010-03-27,,0.08387356031722838
2010-03-28,,0.025004317387781125
2010-03-29,,0.06185820370099765
2010-03-30,,0.035781181502982325
2010-03-31,,0.050284283380049685
2010-04-01,,0.02636263400507459
2010-04-02,,0.2973451386213584
2010-04-03,,0.2965713298882793
2010-04-04,,0.06060948231199437
2010-04-05,,0.027192900886060814
2010-04-06,,0.07328931811841599
2010-04-08,,0.09661981747412889
2010-04-09,,0.14325424764536313
2010-04-10,,0.03346971850631667
2010-04-11,,0.10576935850259708
2010-04-12,,0.029992560808746366
2010-04-13,,0.07861631042682361
2010-04-14,,0.007904140706988855
2010-04-15,,0.028750481554790975
2010-04-16,,0.03762769504629568
2010-04-17,,0.1416202824235822
2010-04-18,,0.032695909773237504
2010-04-19,,0.015080967626233777
2010-04-20,,0.07895838038178993
2010-04-21,,0.03403762105291125
2010-04-22,,0.09718439895319951
2010-04-23,,0.06402686079413367
2010-04-24,,0.094504297461376
2010-04-25,,0.05759063193272845
2010-04-26,,0.05802901284588918
2010-04-27,,0.003224756565750495
2010-04-29,,0.027830545850658236
2010-04-30,,0.017857380076251712
2010-05-01,,0.0323106659404599
2010-05-02,,0.12451346360774206
2010-05-03,,0.033227280577068696
2010-05-04,,0.0168876283592598
2010-05-05,,0.017797600860820703
2010-05-06,,0.1393021772918687
2010-05-07,,0.1697696507565392
2010-05-08,,0.09873201641935785
2010-05-09,,0.0517057002802981
2010-05-10,,0.014008262815999576
2010-05-11,,0.07520225301220824
2010-05-12,,0.04826507432549118
2010-05-13,,0.12273005034738366
2010-05-14,,0.10312578875353694
2010-05-16,,0.05684671280736481
2010-05-17,,0.042034751650570565
2010-05-18,,0.07978864726277615
2010-05-19,,0.018647794146950596
2010-05-20,,0.09249505160938933
2010-05-21,,0.2223421496605869
2010-05-23,,0.03410404240339015
2010-05-24,,0.058115360601511755
2010-05-25,,0.18257900819639464
2010-05-26,,0.1378010547710456
2010-05-27,,0.1577938812651939
2010-05-28,,0.0812930908511232
2010-05-29,,0.13001979356244273
2010-05-30,,0.08589276937178687
2010-05-31,,0.04148677550911965
2010-06-01,,0.08208682598934602
2010-06-02,,0.03180254260929633
2010-06-03,,0.02714640594072559
2010-06-04,,0.022626433040636582
2010-06-05,,0.10638375599452687
2010-06-06,,0.028401769464776756
2010-06-07,,0.013646266455889582
2010-06-08,,0.07153579446577307
2010-06-09,,0.05820502942465826
2010-06-10,,0.02367589037820317
2010-06-11,,0.04616615965035801
2010-06-12,,0.07866280537215882
2010-06-13,,0.06959296996426532
2010-06-14,,0.010418188822615143
2010-06-15,,0.14616018172881493
2010-06-16,,0.08703189553249997
2010-06-17,,0.05497363072385988
2010-06-18,,0.057119040344328284
2010-06-19,,0.1357353507711519
2010-06-20,,0.14123171752328068
